date,code
1884-02-25,sa_024r_0020_0020_0290
1884-02-26,sa_024r_0020_0020_0300
1884-02-27,sa_024r_0020_0030_0010
1884-02-28,sa_024r_0020_0030_0020
1884-02-29,sa_024r_0020_0030_0030
1884-03-01,sa_024r_0020_0030_0040
1884-03-02,sa_024r_0020_0030_0050
1884-03-03,sa_024r_0020_0030_0060
1884-03-04,sa_024r_0020_0030_0070
1884-03-05,sa_024r_0020_0030_0080
1884-03-06,sa_024r_0020_0030_0090
1884-03-07,sa_024r_0020_0030_0100
1884-03-08,sa_024r_0020_0030_0110
1884-03-09,sa_024r_0020_0030_0120
1884-03-10,sa_024r_0020_0030_0130
1884-03-11,sa_024r_0020_0030_0140
1884-03-12,sa_024r_0020_0030_0150
1884-03-13,sa_024r_0020_0030_0160
1884-03-14,sa_024r_0020_0030_0170
1884-03-15,sa_024r_0020_0030_0180
1884-03-16,sa_024r_0020_0030_0190
1884-03-17,sa_024r_0020_0030_0200
1884-03-18,sa_024r_0020_0030_0210
1884-03-19,sa_024r_0020_0030_0220
1884-03-20,sa_024r_0020_0030_0230
1884-03-21,sa_024r_0020_0030_0240
1884-03-22,sa_024r_0020_0030_0250
1884-03-23,sa_024r_0020_0030_0260
1884-03-24,sa_024r_0020_0030_0270
1884-03-25,sa_024r_0020_0030_0280
1884-03-26,sa_024r_0020_0030_0290
1884-03-27,sa_024r_0020_0040_0010
1884-03-28,sa_024r_0020_0040_0020
1884-03-29,sa_024r_0020_0040_0030
1884-03-30,sa_024r_0020_0040_0040
1884-03-31,sa_024r_0020_0040_0050
1884-04-01,sa_024r_0020_0040_0060
1884-04-02,sa_024r_0020_0040_0070
1884-04-03,sa_024r_0020_0040_0080
1884-04-04,sa_024r_0020_0040_0090
1884-04-05,sa_024r_0020_0040_0100
1884-04-06,sa_024r_0020_0040_0110
1884-04-07,sa_024r_0020_0040_0120
1884-04-08,sa_024r_0020_0040_0130
1884-04-09,sa_024r_0020_0040_0140
1884-04-10,sa_024r_0020_0040_0150
1884-04-11,sa_024r_0020_0040_0160
1884-04-12,sa_024r_0020_0040_0170
1884-04-13,sa_024r_0020_0040_0180
1884-04-14,sa_024r_0020_0040_0190
1884-04-15,sa_024r_0020_0040_0200
1884-04-16,sa_024r_0020_0040_0210
1884-04-17,sa_024r_0020_0040_0220
1884-04-18,sa_024r_0020_0040_0230
1884-04-19,sa_024r_0020_0040_0240
1884-04-20,sa_024r_0020_0040_0250
1884-04-21,sa_024r_0020_0040_0260
1884-04-22,sa_024r_0020_0040_0270
1884-04-23,sa_024r_0020_0040_0280
1884-04-24,sa_024r_0020_0040_0290
1884-04-25,sa_024r_0020_0050_0010
1884-04-26,sa_024r_0020_0050_0020
1884-04-27,sa_024r_0020_0050_0030
1884-04-28,sa_024r_0020_0050_0040
1884-04-29,sa_024r_0020_0050_0050
1884-04-30,sa_024r_0020_0050_0060
1884-05-01,sa_024r_0020_0050_0070
1884-05-02,sa_024r_0020_0050_0080
1884-05-03,sa_024r_0020_0050_0090
1884-05-04,sa_024r_0020_0050_0100
1884-05-05,sa_024r_0020_0050_0110
1884-05-06,sa_024r_0020_0050_0120
1884-05-07,sa_024r_0020_0050_0130
1884-05-08,sa_024r_0020_0050_0140
